entrez_gene_ida	symbol_a	entrez_gene_idb	symbol_b
4790	NFKB1	79155	TNIP2
7879	RAB7A	83547	RILP
3932	LCK	80306	MED28
53840	TRIM34	85363	TRIM5
5705	PSMC5	8856	NR1I2
10083	USH1C	64072	CDH23
8440	NCK2	57142	RTN4
1739	DLG1	9229	DLGAP1
3178	HNRNPA1	4792	NFKBIA
5159	PDGFRB	9368	SLC9A3R1
5890	RAD51B	128312	HIST3H2BB
1020	CDK5	5468	PPARG
5335	PLCG1	27040	LAT
7490	WT1	9391	CIAO1
10254	STAM2	26994	RNF11
5468	PPARG	8031	NCOA4
4086	SMAD1	4086	SMAD1
1855	DVL1	5684	PSMA3
641	BLM	4292	MLH1
432	ASGR1	29956	CERS2
4850	CNOT4	7324	UBE2E1
468	ATF4	112399	EGLN3
4502	MT2A	25898	RCHY1
6714	SRC	8856	NR1I2
11155	LDB3	58529	MYOZ1
5702	PSMC3	7428	VHL
7138	TNNT1	84676	TRIM63
324	APC	1741	DLG3
2252	FGF7	2263	FGFR2
3725	JUN	22924	MAPRE3
7054	TH	7534	YWHAZ
2176	FANCC	3312	HSPA8
6729	SRP54	6729	SRP54
7186	TRAF2	7187	TRAF3
4628	MYH10	5087	PBX1
11235	PDCD10	51765	STK26
716	C1S	716	C1S
2113	ETS1	3725	JUN
3981	LIG4	7158	TP53BP1
9815	GIT2	10318	TNIP1
558	AXL	2621	GAS6
2120	ETV6	2885	GRB2
4771	NF2	6895	TARBP2
8777	MPDZ	144125	OR2AG1
1432	MAPK14	1852	DUSP9
1956	EGFR	5795	PTPRJ
3182	HNRNPAB	8626	TP63
5425	POLD2	253980	KCTD13
2023	ENO1	7534	YWHAZ
2065	ERBB3	2886	GRB7
7494	XBP1	58487	CREBZF
351	APP	3028	HSD17B10
367	AR	2308	FOXO1
2965	GTF2H1	10661	KLF1
1616	DAXX	2113	ETS1
4929	NR4A2	5915	RARB
6789	STK4	11186	RASSF1
613	BCR	2885	GRB2
4200	ME2	4200	ME2
8291	DYSF	8527	DGKD
5563	PRKAA2	5717	PSMD11
4793	NFKBIB	6256	RXRA
8766	RAB11A	80223	RAB11FIP1
23011	RAB21	27342	RABGEF1
1613	DAPK3	5074	PAWR
572	BAD	2810	SFN
2318	FLNC	3751	KCND2
9322	TRIP10	23433	RHOQ
573	BAG1	5925	RB1
5867	RAB4A	9135	RABEP1
2549	GAB1	9402	GRAP2
5936	RBM4	8900	CCNA1
3611	ILK	22950	SLC4A1AP
4790	NFKB1	7295	TXN
4103	MAGEA4	7709	ZBTB17
3320	HSP90AA1	10598	AHSA1
4734	NEDD4	7322	UBE2D2
10951	CBX1	56946	C11orf30
4438	MSH4	7411	VBP1
4217	MAP3K5	5536	PPP5C
641	BLM	6117	RPA1
7874	USP7	7874	USP7
468	ATF4	57761	TRIB3
5788	PTPRC	115426	UHRF2
5700	PSMC1	6314	ATXN7
773	CACNA1A	2896	GRN
4193	MDM2	6233	RPS27A
26986	PABPC1	51433	ANAPC5
8900	CCNA1	196528	ARID2
6929	TCF3	7329	UBE2I
1051	CEBPB	1649	DDIT3
28996	HIPK2	57659	ZBTB4
2274	FHL2	3679	ITGA7
2896	GRN	57761	TRIB3
2316	FLNA	9133	CCNB2
5218	CDK14	10971	YWHAQ
355	FAS	7329	UBE2I
6456	SH3GL2	8867	SYNJ1
493	ATP2B4	11186	RASSF1
6310	ATXN1	59349	KLHL12
8350	HIST1H3A	23408	SIRT5
3725	JUN	4087	SMAD2
1642	DDB1	1643	DDB2
2280	FKBP1A	2280	FKBP1A
839	CASP6	839	CASP6
2033	EP300	23426	GRIP1
5810	RAD1	10987	COPS5
4868	NPHS1	8826	IQGAP1
3725	JUN	10538	BATF
6310	ATXN1	11338	U2AF2
8350	HIST1H3A	23476	BRD4
4852	NPY	29979	UBQLN1
5127	CDK16	7534	YWHAZ
3611	ILK	171024	SYNPO2
8648	NCOA1	10521	DDX17
5133	PDCD1	29126	CD274
988	CDC5L	5356	PLRG1
3265	HRAS	8036	SHOC2
3191	HNRNPL	3191	HNRNPL
9967	THRAP3	140890	SREK1
57692	MAGEE1	57692	MAGEE1
28996	HIPK2	51701	NLK
4171	MCM2	4174	MCM5
3275	PRMT2	11100	HNRNPUL1
9146	HGS	25852	ARMC8
81	ACTN4	10612	TRIM3
3190	HNRNPK	3190	HNRNPK
7329	UBE2I	10401	PIAS3
2113	ETS1	51742	ARID4B
11157	LSM6	51690	LSM7
7134	TNNC1	84676	TRIM63
2932	GSK3B	161882	ZFPM1
3561	IL2RG	3565	IL4
7187	TRAF3	8784	TNFRSF18
8648	NCOA1	9325	TRIP4
672	BRCA1	1460	CSNK2B
389	RHOC	84708	LNX1
635	BHMT	635	BHMT
914	CD2	9051	PSTPIP1
4801	NFYB	4802	NFYC
2057	EPOR	3635	INPP5D
51176	LEF1	51588	PIAS4
2353	FOS	4088	SMAD3
5980	REV3L	10459	MAD2L2
23016	EXOSC7	51013	EXOSC1
673	BRAF	10971	YWHAQ
3676	ITGA4	3695	ITGB7
3055	HCK	6654	SOS1
984	CDK11B	5058	PAK1
6118	RPA2	6774	STAT3
355	FAS	8772	FADD
8517	IKBKG	28989	NTMT1
4089	SMAD4	10273	STUB1
4088	SMAD3	4739	NEDD9
5567	PRKACB	6194	RPS6
84148	KAT8	339287	MSL1
5819	PVRL2	5819	PVRL2
2885	GRB2	26191	PTPN22
4218	RAB8A	117177	RAB3IP
598	BCL2L1	149428	BNIPL
4850	CNOT4	23019	CNOT1
2885	GRB2	9931	HELZ
2908	NR3C1	10048	RANBP9
1387	CREBBP	2547	XRCC6
9402	GRAP2	25930	PTPN23
4087	SMAD2	7311	UBA52
1453	CSNK1D	1855	DVL1
2885	GRB2	10262	SF3B4
5925	RB1	10131	TRAP1
9402	GRAP2	11184	MAP4K1
2175	FANCA	2189	FANCG
7763	ZFAND5	9861	PSMD6
11073	TOPBP1	90381	TICRR
5034	P4HB	29979	UBQLN1
5576	PRKAR2A	10981	RAB32
29899	GPSM2	29899	GPSM2
7322	UBE2D2	11074	TRIM31
1407	CRY1	8864	PER2
377	ARF3	9493	KIF23
23020	SNRNP200	23020	SNRNP200
3224	HOXC8	4086	SMAD1
585	BBS4	10211	FLOT1
7415	VCP	79058	ASPSCR1
267	AMFR	9656	MDC1
1871	E2F3	3054	HCFC1
666	BOK	4170	MCL1
2260	FGFR1	6195	RPS6KA1
3791	KDR	23291	FBXW11
25	ABL1	1398	CRK
51177	PLEKHO1	51177	PLEKHO1
7189	TRAF6	7322	UBE2D2
4609	MYC	10985	GCN1L1
2067	ERCC1	2189	FANCG
983	CDK1	115426	UHRF2
10960	LMAN2	23400	ATP13A2
3192	HNRNPU	140890	SREK1
7376	NR1H2	23054	NCOA6
6338	SCNN1B	27230	SERP1
3956	LGALS1	50628	GEMIN4
177	AGER	7276	TTR
320	APBA1	320	APBA1
1984	EIF5A	6125	RPL5
51634	RBMX2	84811	BUD13
25804	LSM4	51690	LSM7
4149	MAX	79753	SNIP1
8771	TNFRSF6B	9966	TNFSF15
2521	FUS	3842	TNPO1
23139	MAST2	54825	CDHR2
369	ARAF	10469	TIMM44
2068	ERCC2	7157	TP53
2919	CXCL1	2919	CXCL1
2547	XRCC6	3064	HTT
7098	TLR3	148022	TICAM1
207	AKT1	171023	ASXL1
5432	POLR2C	54535	CCHCR1
378	ARF4	1956	EGFR
1387	CREBBP	3172	HNF4A
1523	CUX1	5925	RB1
2885	GRB2	64762	GAREM
3581	IL9R	7534	YWHAZ
2690	GHR	5794	PTPRH
5423	POLB	11284	PNKP
1385	CREB1	7528	YY1
7375	USP4	8315	BRAP
1457	CSNK2A1	8894	EIF2S2
2274	FHL2	3692	EIF6
4193	MDM2	9349	RPL23
4298	MLLT1	8028	MLLT10
3683	ITGAL	5788	PTPRC
4867	NPHP1	80306	MED28
25	ABL1	6714	SRC
7322	UBE2D2	79594	MUL1
396	ARHGDIA	399	RHOH
5093	PCBP1	26986	PABPC1
1459	CSNK2A2	3800	KIF5C
1062	CENPE	2175	FANCA
6256	RXRA	10499	NCOA2
7223	TRPC4	7224	TRPC5
571	BACH1	571	BACH1
958	CD40	7188	TRAF5
8856	NR1I2	9612	NCOR2
1813	DRD2	2036	EPB41L1
1869	E2F1	11073	TOPBP1
2783	GNB2	2788	GNG7
10403	NDC80	57082	CASC5
3156	HMGCR	90627	STARD13
672	BRCA1	7323	UBE2D3
1814	DRD3	10755	GIPC1
2547	XRCC6	8900	CCNA1
1105	CHD1	6749	SSRP1
351	APP	2353	FOS
1436	CSF1R	5295	PIK3R1
2296	FOXC1	5087	PBX1
6477	SIAH1	57630	SH3RF1
3593	IL12B	51561	IL23A
4791	NFKB2	4791	NFKB2
4594	MUT	4594	MUT
7334	UBE2N	90678	LRSAM1
27095	TRAPPC3	58485	TRAPPC1
4943	TBC1D25	81631	MAP1LC3B
1915	EEF1A1	10912	GADD45G
5515	PPP2CA	84634	KISS1R
7273	TTN	200539	ANKRD23
1495	CTNNA1	1495	CTNNA1
4804	NGFR	9500	MAGED1
7334	UBE2N	7335	UBE2V1
1675	CFD	1675	CFD
5900	RALGDS	6237	RRAS
4609	MYC	7022	TFAP2C
3054	HCFC1	5134	PDCD2
8065	CUL5	140462	ASB9
2534	FYN	5747	PTK2
6854	SYN2	8224	SYN3
4208	MEF2C	6667	SP1
6490	PMEL	6490	PMEL
7031	TFF1	79908	BTNL8
6256	RXRA	8648	NCOA1
1739	DLG1	93643	TJAP1
7332	UBE2L3	9781	RNF144A
1936	EEF1D	57584	ARHGAP21
3832	KIF11	3832	KIF11
23433	RHOQ	57120	GOPC
3303	HSPA1A	10963	STIP1
84464	SLX4	128710	SLX4IP
8867	SYNJ1	51429	SNX9
1062	CENPE	1062	CENPE
81559	TRIM11	100462977	MTRNR2L1
4000	LMNA	7112	TMPO
5867	RAB4A	80223	RAB11FIP1
1785	DNM2	6714	SRC
11276	SYNRG	26088	GGA1
7188	TRAF5	57506	MAVS
6500	SKP1	55336	FBXL8
3663	IRF5	4615	MYD88
4942	OAT	4942	OAT
3856	KRT8	8517	IKBKG
2893	GRIA4	6386	SDCBP
6810	STX4	134957	STXBP5
4170	MCL1	10018	BCL2L11
6872	TAF1	6908	TBP
1398	CRK	2060	EPS15
27242	TNFRSF21	64324	NSD1
5074	PAWR	5584	PRKCI
1308	COL17A1	1500	CTNND1
