symbol,entrezid,Normal_TCGA_38_4625,Tumor_TCGA_38_4625,Normal_TCGA_38_4626,Tumor_TCGA_38_4626,Normal_TCGA_38_4627,Tumor_TCGA_38_4627,Normal_TCGA_38_4632,Tumor_TCGA_38_4632,Normal_TCGA_44_2665,Tumor_TCGA_44_2665,Normal_TCGA_44_2668,Tumor_TCGA_44_2668,Normal_TCGA_44_3396,Tumor_TCGA_44_3396,Normal_TCGA_44_3398,Tumor_TCGA_44_3398,Normal_TCGA_44_5645,Tumor_TCGA_44_5645,Normal_TCGA_44_6145,Tumor_TCGA_44_6145,Normal_TCGA_44_6146,Tumor_TCGA_44_6146,Normal_TCGA_44_6147,Tumor_TCGA_44_6147,Normal_TCGA_44_6148,Tumor_TCGA_44_6148,Normal_TCGA_44_6776,Tumor_TCGA_44_6776,Normal_TCGA_44_6777,Tumor_TCGA_44_6777,Normal_TCGA_44_6778,Tumor_TCGA_44_6778
NA,100130426,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,100133144,10.76,15.56,4.03,70.61,0,9.58,8.58,9.99,3.22,28.13,26.31,12.19,24.48,57.77,33.07,0,6.87,39.53,16.86,5.85,29.77,54.49,25.97,25.33,49.85,79.33,32.17,18.92,0,4.2,15.75,22.63
NA,100134869,29.24,8.44,24.97,54.39,14,23.42,9.42,6.01,48.78,38.87,37.69,7.81,57.52,58.23,46.93,29,13.13,39.47,26.14,19.15,16.23,38.51,33.03,13.67,36.15,85.67,11.83,34.08,11,6.8,8.25,27.37
NA,10357,342.48,311.82,355.23,348.26,268.75,287.08,112.68,87.7,337.58,187.68,277.27,489.52,381.74,319.38,165.65,201.06,174.57,208.83,93.62,86.84,104.57,134.07,149.29,133.5,196.83,182.05,142.76,135.52,104.56,152.9,199.75,189.63
NA,10431,1760,5842,2290,3403,1672,2122,912,1761,1786,2036,1620,3984,1823,3030,1406,1898,811,934,835,1705,547,1481,1096,1345,907,853,761,1237,581,1086,921,1243
NA,136542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,155060,101,297,180,582,34,117,35,65,199,461,185,318,261,1732,249,242,194,364,133,141,134,172,175,393,211,212,172,92,49,104,297,260
NA,26823,0,2,0,1,0,0,0,0,0,1,0,0,1,0,2,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2
NA,280660,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,317712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,340602,0,1,5,3,1,0,2,0,1,1,2,0,0,3,3,0,5,1,4,0,0,0,1,2,5,4,3,3,0,0,1,74
NA,388795,0,1,4,4,0,1,0,1,1,1,3,4,5,4,3,6,2,2,0,3,1,0,2,2,2,1,2,0,0,2,4,4
NA,390284,10,17,24,12,12,12,17,9,6,25,13,7,22,26,7,36,14,8,26,7,14,19,12,19,15,18,9,6,8,2,4,6
NA,391343,0,4,0,0,0,0,1,0,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
NA,391714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
NA,404770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,441362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,442388,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0
NA,553137,1,1,5,3,12,2,1,1,2,0,2,0,1,0,1,3,0,0,0,1,3,8,1,10,1,11,2,0,4,0,0,0
NA,57714,589,2005,617,3259,412,1003,430,265,1207,713,1074,4836,2736,2507,1862,329,788,1049,636,3682,1213,2378,955,1401,1532,1030,571,382,636,2450,991,2684
NA,645851,5,15,5,62,2,2,1,9,11,35,14,19,16,67,19,34,12,29,8,11,8,19,9,18,12,22,10,8,2,2,34,46
NA,652919,0,0,0,0,16,40,2,10,34,18.1,19,20.67,95.87,0,105,0,28,26.85,0,0,0,121.12,11,0,0,81.41,115.2,21,0,12.25,26,42
NA,653553,762,4334,716,646,806,1507,155,1096,778,814,572,1365,693,2477,603,1004,618,852,449,206,285,159,508,1489,557,580,290,358,389,940,280,240
NA,728045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,728603,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
NA,728788,0,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,3,4,4,1,0,6,4,1,1,7,2,2,0,0,2,2
NA,729884,2,1,7,12,3,2325,0,1,4,720,1,1745,3,4894,5,11858,10,3,1,2,0,2,8,181,0,6,1,233,3,778,1,3
NA,8225,2564,2062,2339,3067,1220,1464,633,919,1942,963,1725,1867,1778,2622,1754,912,1530,931,770,486,608,802,1110,960,1369,1105,742,1115,677,779,1057,721
NA,90288,271,8,408,55,21,41,22,3,48,4,19,29,399,33,368,28,194,286,93,20,15,102,40,566,886,1199,146,22,61,7,47,27
A1BG,1,633.1,245.52,668.63,539.03,683,575.01,99,1142.52,297.82,261.79,259.5,209.64,353.64,858.19,205,450.73,215.87,73.33,115,86,36,19,128.03,380.27,123.73,215.81,66.76,62.92,125,240.17,93.28,108.51
A1CF,29974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,2
A2BP1,54715,3,0,0,1,1,37,0,0,4,5,0,1,2,3,20,98,2,3,0,1,1,0,2,2,3,5,1,0,0,2,2,1
A2LD1,87769,244.22,168.02,164.16,431.55,205.29,304.47,160.15,209.18,234.26,206.32,204.84,269.45,250.61,967.18,216.08,360.07,139.03,101.62,66.28,180.58,57.05,251.83,60.29,151.74,140.76,177.48,71.46,164.75,90.93,161.72,82.57,105.62
A2ML1,144568,0,5,1,4,0,0,3,0,3,1,2,24,6,2,1,4,1,5,0,26,0,119,1,1,0,5,0,1,0,0,1,3
A2M,2,164911.68,42256.87,91846.61,345367.62,202899.39,151070.48,65569.87,10397.9,326158.8,19674.96,190718.91,35034.9,360591.69,74259.75,342029.2,53021.47,151115.29,83596.81,101984.64,40577.93,170242.86,46515.93,140758.87,93034.77,244973.54,268681.59,70691.85,40755.97,140669.81,140460.88,142307.91,84225.9
A4GALT,53947,1613,1370,1524,1503,784,1228,192,540,1846,716,1645,3083,2641,1592,1720,1157,788,258,495,301,594,200,879,763,1050,1478,392,156,785,604,507,224
A4GNT,51146,12,1,9,5,7,0,1,2,4,7,3,4,8,8,14,5,11,2,5,3,8,63,3,3,7,956,3,0,4,3,7,5
AAA1,404744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,8086,1635,3267,1453,2657,1011,1420,486,851,1639,1266,1235,1939,1649,2754,1506,1355,1356,994,654,975,591,1037,594,957,1009,1207,785,1013,648,916,756,855
AACSL,729522,2,2,5,6,11,1,4,0,3,18,7,1,4,2,6,2,11,3,3,0,5,0,4,9,15,20,4,0,10,0,4,1
AACS,65985,1624,2865,1621,3345,932,2726,471,1496,1497,2183,2210,3694,1630,3642,1420,1799,1174,740,1053,1680,675,5200,676,1139,1098,1451,951,592,885,1031,634,1431
AADACL2,344752,0,0,0,26,1,0,0,0,0,0,0,0,0,0,51,0,4,1,0,0,3,0,0,2,4,1,0,0,5,0,1,0
AADACL3,126767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,343066,0,1,0,3,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
AADAC,13,528,87,139,100,573,4,593,30,854,1,190,2,596,6,1176,176,1037,625,206,25,805,4215,606,160,489,843,1120,569,93,6,158,151
AADAT,51166,204,99,206,594,179,179,136,164,270,245,180,57,311,999,288,262,300,136,161,13,146,52,101,113,274,257,184,122,118,129,193,212
AAGAB,79719,1647,3437,2117,4050,1580,2810,1106,1699,1947,2046,2053,3143,2205,6792,2054,3346,1351,2246,1198,2322,792,3409,1243,1375,1470,1453,888,1593,906,1030,1180,1550
AAK1,22848,1377,1939,1831,4535,745,1196,592,654,2814,1023,2784,3804,3781,3452,2804,1108,1983,1553,1592,1538,1477,2533,1887,1584,2517,1875,1391,979,1178,2434,1787,2169
AAMP,14,6384,8377,5789,8651,3625,7358,2080,3268,5847,3179,5034,10051,5679,10826,5141,3529,4793,3245,2190,3907,2054,8310,2614,3516,3440,3873,2483,3613,2195,3136,2697,3205
AANAT,15,0,6,0,4,0,0,0,0,1,4,0,7,1,9,0,0,0,1,1,1,1,1,1,2,1,0,1,0,0,1,2,1
AARS2,57505,681.99,966.94,638.97,1486.88,335,698,192.91,262,968.99,569.97,776.97,1073.95,1085.97,1810.98,1055.93,363,742.95,716.99,364.9,704.9,411.99,816.99,311,870.98,784.97,916.82,522.98,718.94,380,778.97,502.88,654.97
AARSD1,80755,1016,1943,887,1643,778,1400,401,853,1052,767,847,1227,1024,2144,982,667,691,553,432,467,329,705,379,718,675,1016,469,904,392,825,541,518
AARS,16,6110,11461,4920,12067,3555,13144,1940,4476,7858,9931,6875,15521,9000,8322,6992,4688,6051,10297,3117,5819,2605,6943,2819,7560,4910,4442,3553,4782,3523,7419,3582,6967
AASDHPPT,60496,2084,2664,1949,3363,1500,2635,924,1276,1615,1989.88,1682,2949,2291,4246,1883,2861,1266,1838,906,1041,880,1416,883,1615,1614,1627,956,1215,856,1846,1076,1983
AASDH,132949,655,718,631,1096,372,560,293,303,509,596,448,931,760,911,644,850,534,802,247,346,333,580,179,358,654,644,508,415,253,471,474,593
AASS,10157,1098,966,1629,19384,431,449,574,143,1906,1291,2446,792,1699,2241,932,670,910,1101,1167,519,652,446,2909,954,1290,1009,1305,346,545,618,1810,944
AATF,26574,2408,9106,2286,4069,1360,2502,682,1334,2977,2143,2903,5716,3361,5769,2985,1148,1973,1922,1511,1333,1079,2190,1739,1929,2183,2151,1353,1615,1225,2856,1469,1869
AATK,9625,1512,192,1452.22,3872.4,743,85,180,61,2891.77,52,1970,151,3060.35,254.05,1947.31,114,3084.75,79.04,1018.3,618,1230.41,1398,1418.37,133,2033.81,426,1379.68,252,970,64,1097,381
ABAT,18,1495,887,1802,2088,249,512,491,83,908,605,1535,642,1160,419,1240,382,436,797,337,199,275,2576,301,1046,1147,4788,319,185,434,578,423,3015
ABCA10,10349,104,13,99,78,28,14,8,4,49,16,24,6,180,76,439,94.01,111,55,58,14,72,38,73,46,275,316.17,72,11,23,2,135.23,18
ABCA11P,79963,215.31,322.56,189.59,327.32,153.71,173.77,78.67,161.14,173.8,219.38,160.63,553.7,243.28,367.56,233.11,569.72,161.09,138.99,120.36,104.92,93.76,134.87,121.36,152.33,169.5,281.72,126.77,148.35,68.73,84.24,162.52,105.62
ABCA12,26154,3,4,3,80,2,234,0,3,2,385,7,795,1,1463,2,451,1,107,1,589,0,334,3,69,10,91,1,231,4,818,0,37
ABCA13,154664,245,4,364,360,66,560,51,42,88,273,38,143,1306,287,418,111,135,1184,100,32,10,80,51,4567,2547,1011,357,27,36,8,48,46
ABCA17P,650655,13,2,8,12,8,20,4,5,16,12,2,6,8,19,8,12,4,7,6,3,4,1,6,2,4,3,4,5,6,231,11,4
ABCA1,19,3168.98,7160.88,3459.98,19613.64,921,2469.98,5315.92,1996,5270.97,3075.95,3422.94,9046.95,4833.91,8334.76,5193.89,2857.79,4322.97,2645.92,2207,2614.97,4654.98,1659.95,1775,1062.95,6351.95,1977.95,3615.97,493,2277.97,5958.89,3725.93,6035.91
ABCA2,20,1519,1470,1554,2898,1058,2165,376,736,3163,1777,2319,2464,4644,3419,3187,494,2477,1971,1149,3296,1255,2430,1278,2687,2993,2045,1096,1407,1093,2063,1542,2530
ABCA3,21,45038,7844,31657,206667,22824,2361,24568,5748,101649,6123,83532,2271,92432,9440,41654,4516,36836,10616,39339,1833,25197,14383,43210,8214,36481,2195,36048,13157,37689,8074,27186,23573
ABCA4,24,24,128,43,458,92,1907,15,2695,46,25,135,125,76,1430,72,77,17,1335,63,113,13,13,34,1297,39,31,28,16,41,150,21,14
ABCA5,23461,598,266,728,978,243,322,195,40,597,264,421,231,975,755,894,725.99,526,822,313,354,390,1302,424,732,1190,1316.83,691,408,258,224,819.77,379
ABCA6,23460,1149,189,536,589,396,631,189,66,634,759,364,262,1094,1108,1364,583,561,416,405,212,543,246,487,349,1060,710,268,68,323,376,689,318
ABCA7,10347,961,1784,1560,2323,673,989,215,356,1374,721,1751,1495,2377,4554,1320,470,1107,1396,1022,674,494,1299,609,1097,1314,1167,571,2611,714,807,878,583
ABCA8,10351,2553,218,1709,1814,2433,1071,788,15,2814,133,1149,18,6537,270,6412,553,1938,813,1782,94,2405,379,1701,818,4241,3387,940,130,1487,331,1885,645
ABCA9,10350,779,61,282,244,27,177,76,9,274,70,163,93,765,709,1310,108,281,173,265,103,664,58,493,122,732,239,217,40,193,134,361,192
ABCB10,23456,1442,2182,1665,1976,984,1271,616,1333,1397,1026,1379,2690,1726,1879,1431,1369,928,1034,643,833,660,1305,749,1309,1274,719,730,824,479,1099,756,621
ABCB11,8647,0,1,4,2,0,0,2,0,1,3,1,0,6,1,2,0,0,2,1,7,1,16,1,19,8,3,2,0,1,12,0,3
ABCB1,5243,119,76,104,147,154,420,81,16,359,44,524,272,1328,207,2228,94,297,202,460,211,763,24,141,223,301,735,73,45,239,95,416,374
ABCB4,5244,7,13,13,37,4,157,7,16,9,92,29,59,44,158,39,15,8,54,3,33,7,13,7,38,6,83,6,20,18,58,3,19
ABCB5,340273,8,3,28,162,3,12,19,0,15,2,8,1,5,7,45,4,12,2,0,0,8,0,1,0,2,0,5,2,1,3,3,6
ABCB6,10058,634.25,543.29,721.45,1971.93,785.08,2032.94,1058.04,711.91,635.43,718.91,527.76,1281.32,772.55,2452.94,793.39,1811.91,486.98,944.51,203,1901.41,216.08,1259.51,205.16,843.39,549.37,924.7,322.46,3831.12,320.75,751.4,288.47,1090.43
ABCB7,22,1110,1614,1080,1899,705,1124,544,503,1013,739,928,1256,1220,2108,1120,1186,641,1130,414,726,406,623,483,736,814,697,550,597,385,861,630,692
ABCB8,11194,2014,3693,2272,3631,1567,1766,655,1447,2282,1253,2243,2720,2273,4708,1979,1043,1345,1057,874,1481,655,1087,715,1299,1234,1245,673,1813,764,1016,837,882
ABCB9,23457,203.53,1404.69,172.82,687.86,150.67,288.5,97.8,322.11,259.06,665.71,238.85,475.28,223.74,774.5,237.49,768.32,178.92,137.77,119.69,192.51,94.73,823.77,47.74,261.74,143.53,225.83,68.64,53.66,97.74,193.57,86.47,140.5
ABCC10,89845,1047,1953,1293,2947,517,1216,318,584,1381,1045,1265,3111,1687,2829,1371,638,952,850,581,648,608,1146,294,1228,1078,977,658,1205,553,1109,642,692
ABCC11,85320,2,14,0,2,3,25,0,1,3,14,0,4,0,4,3,1,2,9,1,16,2,19,2,1,3,2,3,4,2,1,0,2
ABCC12,94160,2,4,0,2,0,0,1,2,0,3,0,1,2,0,1,2,6,22,0,1,0,2,0,2,3,15,4,2,1,0,1,8
ABCC13,150000,40,23,56,94,14,1,57,1,43,0,35,11,28,0,19,10,63,1,10,0,22,4,53,2,48,0,43,30,28,8,26,13
ABCC1,4363,2898,3955,3513,8139,1472,3672,2167,928,5647,3202,4224,9401,7069,6508,5259,1174,3855,3832,2134,8229,2373,5662,3025,3457,3381,3087,2613,1833,2036,3154,2253,2638
ABCC2,1244,50,87,24,34,2,4,5,11,11,36,4,55,16,22,14,28,15,35,6,2797,7,11,4,33,15,14,11,21,1,7,26,43
ABCC3,8714,2425,3925,3300,6031,1517,5541,580,3559,2743,7652,3543,8121,3629,14256,2144,3563,1051,4587,1663,11824,1018,19580,1067,7296,1372,3688,656,14939,1014,7163,1332,966
